12/23/2025  9:08 PM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	-0.060	0.020	0.000
2	-0.060	0.020	0.062
3	-0.060	0.020	0.080
4	-0.060	0.020	0.100
5	-0.070	0.040	0.120
6	-0.080	0.100	0.140
7	-0.085	0.140	0.160
8	-0.100	0.220	0.180
9	-0.125	0.320	0.200
10	-0.145	0.440	0.220
11	-0.190	0.600	0.240
12	-0.240	0.720	0.260
13	-0.305	0.900	0.280
14	-0.385	1.060	0.300
15	-0.485	1.240	0.320
16	-0.605	1.420	0.340
17	-0.845	1.720	0.370
18	-0.940	1.820	0.384
19	-1.185	2.100	0.420
20	-1.320	2.260	0.440
21	-1.645	2.580	0.480
22	-1.795	2.740	0.500
23	-2.240	3.220	0.552
24	-2.350	3.340	0.566
25	-2.650	3.640	0.605
26	-2.765	3.780	0.620
27	-2.965	4.000	0.645
28	-3.070	4.100	0.660
29	-3.190	4.240	0.680
30	-3.345	4.400	0.700
31	-3.490	4.560	0.720
32	-3.635	4.740	0.740
33	-3.795	4.920	0.760
34	-3.930	5.060	0.780
35	-4.075	5.240	0.800
36	-4.210	5.400	0.820
37	-4.340	5.580	0.840
38	-4.480	5.740	0.860
39	-4.620	5.900	0.880
40	-4.750	6.080	0.900
41	-5.000	6.420	0.940
42	-5.125	6.560	0.960
43	-5.250	6.740	0.980
44	-5.565	7.180	1.027
45	-5.665	7.300	1.043
46	-5.880	7.640	1.081
47	-5.960	7.760	1.100
48	-6.210	8.120	1.141
49	-6.290	8.240	1.160
50	-6.525	8.620	1.201
51	-6.600	8.720	1.220
52	-6.820	9.100	1.260
53	-6.895	9.240	1.280
54	-6.990	9.420	1.300
55	-7.155	9.700	1.329
56	-7.220	9.820	1.344
57	-7.380	10.100	1.380
58	-7.450	10.260	1.400
59	-7.650	10.600	1.440
60	-7.715	10.740	1.460
61	-7.865	11.040	1.491
62	-7.925	11.160	1.505
63	-8.060	11.440	1.540
64	-8.130	11.600	1.560
65	-8.205	11.720	1.580
66	-8.275	11.900	1.600
67	-8.355	12.080	1.620
68	-8.425	12.240	1.640
69	-8.510	12.420	1.660
70	-8.580	12.560	1.680
71	-8.655	12.740	1.700
72	-8.725	12.920	1.720
73	-8.800	13.080	1.740
74	-8.870	13.240	1.760
75	-9.005	13.580	1.800
76	-9.080	13.740	1.820
77	-9.225	14.080	1.860
78	-9.285	14.240	1.880
79	-9.435	14.620	1.922
80	-9.485	14.780	1.940
81	-9.635	15.160	1.985
82	-9.680	15.280	2.000
83	-9.785	15.560	2.032
84	-9.830	15.680	2.047
85	-9.915	15.940	2.080
86	-9.970	16.060	2.100
87	-10.030	16.240	2.120
88	-10.125	16.520	2.148
89	-10.170	16.660	2.164
90	-10.295	17.040	2.210
91	-10.335	17.160	2.226
92	-10.445	17.520	2.266
93	-10.490	17.640	2.281
94	-10.525	17.760	2.300
95	-10.580	17.920	2.320
96	-10.630	18.080	2.340
97	-10.675	18.260	2.360
