time,unix1,unix2,unix3,unix4,unix5,unix6,unix7,unix8
15:05:44.035,92.2126,103.605,124.499,146.57,141.786,142.934,141.481,141.159
15:05:44.078,92.4194,103.844,124.797,146.932,142.135,143.286,141.829,141.507
15:05:44.107,92.6064,104.059,125.065,147.258,142.45,143.602,142.142,141.819
15:05:44.137,92.7738,104.253,125.307,147.551,142.733,143.889,142.424,142.1
15:05:44.170,92.9224,104.428,125.524,147.815,142.986,144.145,142.677,142.351
15:05:44.204,93.0582,104.585,125.722,148.052,143.215,144.375,142.906,142.579
15:05:44.236,93.1803,104.726,125.897,148.266,143.422,144.585,143.111,142.784
15:05:44.266,93.2903,104.853,126.056,148.457,143.607,144.771,143.295,142.969
15:05:44.296,93.3893,104.968,126.2,148.633,143.773,144.941,143.461,143.135
15:05:44.322,93.4763,105.07,126.33,148.79,143.923,145.092,143.611,143.282
15:05:44.349,93.5567,105.162,126.447,148.932,144.059,145.228,143.746,143.417
15:05:44.377,93.629,105.248,126.552,149.06,144.181,145.352,143.868,143.539
15:05:44.404,93.6921,105.325,126.647,149.175,144.289,145.462,143.977,143.646
15:05:44.430,93.7509,105.393,126.732,149.277,144.388,145.563,144.075,143.746
15:05:44.457,93.8038,105.453,126.807,149.368,144.477,145.651,144.164,143.835
15:05:44.484,93.8514,105.507,126.876,149.45,144.558,145.731,144.243,143.913
15:05:44.509,93.8943,105.558,126.939,149.524,144.628,145.805,144.315,143.984
15:05:44.534,93.9329,105.601,126.995,149.591,144.691,145.87,144.379,144.047
15:05:44.563,93.9676,105.641,127.045,149.651,144.75,145.93,144.437,144.103
15:05:44.590,93.9968,105.676,127.089,149.705,144.803,145.981,144.49,144.154
15:05:44.617,94.0251,105.709,127.13,149.753,144.851,146.028,144.537,144.202
15:05:44.645,94.0506,105.738,127.167,149.797,144.892,146.07,144.578,144.244
15:05:44.672,94.0736,105.764,127.2,149.836,144.928,146.108,144.616,144.283
15:05:44.698,94.0942,105.787,127.228,149.874,144.964,146.142,144.651,144.316
15:05:44.723,94.1128,105.807,127.253,149.905,144.993,146.173,144.682,144.347
15:05:44.749,94.1295,105.825,127.276,149.936,145.022,146.201,144.709,144.373
15:05:44.775,94.1446,105.842,127.299,149.961,145.046,146.226,144.734,144.399
15:05:44.801,94.1581,105.858,127.317,149.986,145.069,146.248,144.757,144.422
15:05:44.832,94.1703,105.872,127.335,150.006,145.088,146.268,144.777,144.441
15:05:44.859,94.1813,105.887,127.351,150.027,145.107,146.286,144.796,144.46
15:05:44.872,94.1921,105.898,127.364,150.045,145.125,146.303,144.814,144.477
15:05:44.899,94.2009,105.908,127.376,150.06,145.138,146.317,144.829,144.49
